tslot,hour,day,month,year,tmpr,windSpd,windDir,cloudCov,mwh
24.0,0.0,2.0,8.0,2008.0,34.9,6.04,136.0,0.625,30.596946144993066
25.0,1.0,2.0,8.0,2008.0,33.3,4.69,160.0,0.563,33.09037466477669
26.0,2.0,2.0,8.0,2008.0,31.7,2.98,164.0,0.625,36.8616998180184
27.0,3.0,2.0,8.0,2008.0,29.8,5.51,194.0,0.625,40.13662533351387
28.0,4.0,2.0,8.0,2008.0,27.5,6.93,185.0,0.563,42.89986144386658
29.0,5.0,2.0,8.0,2008.0,27.2,4.69,215.0,0.375,44.696706792723
30.0,6.0,2.0,8.0,2008.0,23.9,3.57,210.0,0.375,33.922582754434
31.0,7.0,2.0,8.0,2008.0,22.5,1.49,175.0,0.0,41.3368479728067
32.0,8.0,2.0,8.0,2008.0,21.9,1.79,200.0,0.0,36.826125140155945
33.0,9.0,2.0,8.0,2008.0,22.8,4.25,220.0,0.0,17.018044208046184
34.0,10.0,2.0,8.0,2008.0,21.7,2.24,165.0,0.0,15.8975574423479
35.0,11.0,2.0,8.0,2008.0,20.8,3.35,185.0,0.188,5.607110857000591
36.0,12.0,2.0,8.0,2008.0,21.1,1.64,140.0,0.375,9.859706866170752
37.0,13.0,2.0,8.0,2008.0,22.8,2.24,205.0,0.375,20.67368943568823
38.0,14.0,2.0,8.0,2008.0,27.2,2.53,215.0,0.375,31.064863404216002
39.0,15.0,2.0,8.0,2008.0,29.3,3.57,244.0,0.375,31.81703629816627
40.0,16.0,2.0,8.0,2008.0,31.9,2.01,250.0,0.375,35.42988111178343
41.0,17.0,2.0,8.0,2008.0,34.6,1.79,242.0,0.375,58.23934509190081
42.0,18.0,2.0,8.0,2008.0,35.9,2.53,71.0,0.5,55.947983050297594
43.0,19.0,2.0,8.0,2008.0,35.6,3.8,330.0,0.563,55.44903755439835
44.0,20.0,2.0,8.0,2008.0,34.4,5.92,306.0,0.563,52.036586478388976
45.0,21.0,2.0,8.0,2008.0,35.2,6.71,70.0,0.75,43.925468045677285
46.0,22.0,2.0,8.0,2008.0,33.9,8.19,307.0,0.75,38.22635716610019
47.0,23.0,2.0,8.0,2008.0,34.3,5.81,271.0,0.625,34.38010721789543
48.0,0.0,3.0,8.0,2008.0,33.1,1.79,260.0,0.625,27.035279740487205
49.0,1.0,3.0,8.0,2008.0,32.1,5.59,283.0,0.5,28.005734189084524
50.0,2.0,3.0,8.0,2008.0,31.3,3.43,250.0,0.75,33.05133634421375
51.0,3.0,3.0,8.0,2008.0,30.0,5.07,271.0,0.75,36.455911198958525
52.0,4.0,3.0,8.0,2008.0,28.5,4.32,0.0,0.75,37.14042245678125
53.0,5.0,3.0,8.0,2008.0,27.5,3.13,315.0,0.75,43.35281129955422
54.0,6.0,3.0,8.0,2008.0,26.4,1.34,320.0,0.75,33.034374242018664
55.0,7.0,3.0,8.0,2008.0,24.2,0.45,70.0,0.75,42.084718450911154
56.0,8.0,3.0,8.0,2008.0,22.2,0.67,200.0,0.75,36.255304686429454
57.0,9.0,3.0,8.0,2008.0,20.6,2.68,195.0,0.563,18.93989004715251
58.0,10.0,3.0,8.0,2008.0,19.4,2.24,165.0,0.563,12.45200140434671
59.0,11.0,3.0,8.0,2008.0,19.2,3.57,175.0,0.375,0.33174551478192565
60.0,12.0,3.0,8.0,2008.0,20.9,2.98,235.0,0.375,11.376462279449479
61.0,13.0,3.0,8.0,2008.0,20.6,2.38,198.0,0.5,17.80909058814608
62.0,14.0,3.0,8.0,2008.0,25.0,2.09,220.0,0.5,28.86302086296459
63.0,15.0,3.0,8.0,2008.0,28.3,2.24,230.0,0.375,34.85415093570767
64.0,16.0,3.0,8.0,2008.0,30.6,0.3,230.0,0.375,38.620134687630724
65.0,17.0,3.0,8.0,2008.0,32.8,2.68,53.0,0.375,56.44412482340578
66.0,18.0,3.0,8.0,2008.0,32.8,2.91,356.0,0.375,52.727390904252545
67.0,19.0,3.0,8.0,2008.0,33.9,3.13,337.0,0.5,53.012962049746505
68.0,20.0,3.0,8.0,2008.0,33.2,3.04,316.0,0.75,50.28790583899888
69.0,21.0,3.0,8.0,2008.0,30.1,8.05,302.0,0.75,39.978333986942445
70.0,22.0,3.0,8.0,2008.0,28.5,5.36,316.0,0.75,36.685665594999634
71.0,23.0,3.0,8.0,2008.0,28.7,5.22,340.0,0.75,33.07593553731925
72.0,0.0,4.0,8.0,2008.0,26.5,5.81,13.0,0.625,29.170839260462845
73.0,1.0,4.0,8.0,2008.0,25.4,3.73,59.0,0.625,27.055391099135687
74.0,2.0,4.0,8.0,2008.0,23.9,2.24,70.0,0.625,30.80125788506754
75.0,3.0,4.0,8.0,2008.0,22.0,3.13,123.0,0.625,34.482349294420096
76.0,4.0,4.0,8.0,2008.0,21.1,1.04,29.0,0.375,35.8166607418194
77.0,5.0,4.0,8.0,2008.0,19.2,2.91,356.0,0.375,42.856964333464745
78.0,6.0,4.0,8.0,2008.0,18.9,3.35,340.0,0.563,34.33490077685545
79.0,7.0,4.0,8.0,2008.0,18.6,0.74,210.0,0.563,42.495911943873764
80.0,8.0,4.0,8.0,2008.0,17.2,2.91,185.0,0.375,39.87850374776413
81.0,9.0,4.0,8.0,2008.0,17.5,4.25,205.0,0.375,21.995297274266797
82.0,10.0,4.0,8.0,2008.0,17.2,3.35,170.0,0.375,17.506574827113425
83.0,11.0,4.0,8.0,2008.0,16.9,3.8,160.0,0.375,5.80932969669795
84.0,12.0,4.0,8.0,2008.0,16.7,3.28,191.0,0.375,9.03342167500954
85.0,13.0,4.0,8.0,2008.0,17.8,2.38,170.0,0.375,18.31506122137518
86.0,14.0,4.0,8.0,2008.0,22.6,2.53,215.0,0.375,29.89398216089864
87.0,15.0,4.0,8.0,2008.0,25.8,4.47,260.0,0.375,34.78781301481136
88.0,16.0,4.0,8.0,2008.0,28.3,1.94,255.0,0.375,38.583527397078015
89.0,17.0,4.0,8.0,2008.0,30.6,2.83,322.0,0.625,54.38488469424258
90.0,18.0,4.0,8.0,2008.0,31.9,3.43,16.0,0.75,50.76141488598813
91.0,19.0,4.0,8.0,2008.0,33.3,4.47,51.0,0.75,49.71179320251954
92.0,20.0,4.0,8.0,2008.0,33.0,5.36,41.0,0.75,47.959451079006215
93.0,21.0,4.0,8.0,2008.0,32.0,4.02,280.0,0.75,37.255345162212144
94.0,22.0,4.0,8.0,2008.0,30.7,5.81,294.0,0.563,35.21909643543372
95.0,23.0,4.0,8.0,2008.0,29.4,7.45,327.0,0.833,30.47061788439556
96.0,0.0,5.0,8.0,2008.0,28.5,6.41,294.0,0.625,27.805124352039915
97.0,1.0,5.0,8.0,2008.0,26.7,5.51,274.0,0.625,26.73958140958173
98.0,2.0,5.0,8.0,2008.0,24.2,0.67,260.0,0.563,31.699875913729265
99.0,3.0,5.0,8.0,2008.0,24.3,2.38,120.0,0.5,33.93870028440213
100.0,4.0,5.0,8.0,2008.0,23.1,0.89,130.0,0.5,37.240105082240376
101.0,5.0,5.0,8.0,2008.0,22.2,5.14,180.0,0.563,42.38854148484793
102.0,6.0,5.0,8.0,2008.0,22.2,3.35,185.0,0.563,35.072948040017046
103.0,7.0,5.0,8.0,2008.0,21.4,2.53,165.0,0.563,44.1128106474759
104.0,8.0,5.0,8.0,2008.0,20.0,3.8,140.0,0.375,40.72453942642742
105.0,9.0,5.0,8.0,2008.0,19.2,1.34,200.0,0.375,24.094103095704213
106.0,10.0,5.0,8.0,2008.0,17.8,2.46,210.0,0.188,19.15302908539975
107.0,11.0,5.0,8.0,2008.0,16.9,2.01,235.0,0.188,10.762475155369573
108.0,12.0,5.0,8.0,2008.0,17.8,3.13,287.0,0.5,13.915741958078021
109.0,13.0,5.0,8.0,2008.0,16.9,1.56,290.0,0.375,19.033362448321355
110.0,14.0,5.0,8.0,2008.0,18.2,4.25,343.0,0.563,29.32737414753582
111.0,15.0,5.0,8.0,2008.0,19.6,3.43,342.0,0.5,35.4127386714883
112.0,16.0,5.0,8.0,2008.0,21.7,2.68,337.0,0.375,39.60365327660626
113.0,17.0,5.0,8.0,2008.0,23.1,3.28,330.0,0.375,56.07593777673521
114.0,18.0,5.0,8.0,2008.0,25.0,2.83,6.0,0.375,52.018489650033835
115.0,19.0,5.0,8.0,2008.0,27.0,2.83,330.0,0.375,49.903741527181445
116.0,20.0,5.0,8.0,2008.0,28.8,3.69,348.0,0.469,47.017247501176556
117.0,21.0,5.0,8.0,2008.0,28.6,5.45,285.0,0.675,38.514720442633894
118.0,22.0,5.0,8.0,2008.0,22.0,5.81,167.0,0.75,36.30835102605923
119.0,23.0,5.0,8.0,2008.0,24.1,4.17,75.0,0.75,30.317547663006604
120.0,0.0,6.0,8.0,2008.0,22.8,5.59,177.0,0.75,28.520276947153718
121.0,1.0,6.0,8.0,2008.0,23.3,5.51,170.0,0.75,27.045637569630983
122.0,2.0,6.0,8.0,2008.0,21.4,7.38,190.0,0.75,32.306780234255896
123.0,3.0,6.0,8.0,2008.0,21.1,9.61,164.0,0.875,35.23573472142268
124.0,4.0,6.0,8.0,2008.0,20.0,5.81,197.0,0.75,38.335857982497274
125.0,5.0,6.0,8.0,2008.0,19.4,5.59,195.0,0.75,42.468824224251705
126.0,6.0,6.0,8.0,2008.0,20.6,4.47,200.0,0.75,35.16807442575184
127.0,7.0,6.0,8.0,2008.0,20.6,4.02,180.0,0.563,44.44338702336828
128.0,8.0,6.0,8.0,2008.0,20.3,6.48,180.0,0.563,40.12067060751128
129.0,9.0,6.0,8.0,2008.0,19.7,5.14,185.0,0.563,26.03332806315472
130.0,10.0,6.0,8.0,2008.0,19.4,4.92,200.0,0.563,17.3549020172728
131.0,11.0,6.0,8.0,2008.0,18.9,3.35,220.0,0.563,8.07403246321985
132.0,12.0,6.0,8.0,2008.0,17.8,1.64,290.0,0.5,13.921952902262685
133.0,13.0,6.0,8.0,2008.0,18.0,1.64,270.0,0.5,20.565560474731488
134.0,14.0,6.0,8.0,2008.0,19.4,2.68,285.0,0.375,30.937786726795505
135.0,15.0,6.0,8.0,2008.0,21.9,3.73,327.0,0.375,35.21886597352139
136.0,16.0,6.0,8.0,2008.0,24.4,4.77,330.0,0.375,38.88774781338298
137.0,17.0,6.0,8.0,2008.0,26.7,6.41,323.0,0.375,55.65121259812528
138.0,18.0,6.0,8.0,2008.0,28.1,6.41,0.0,0.375,52.32177096010286
139.0,19.0,6.0,8.0,2008.0,28.3,7.75,26.0,0.375,49.35166697485004
140.0,20.0,6.0,8.0,2008.0,29.3,5.81,36.0,0.375,45.12382481152999
141.0,21.0,6.0,8.0,2008.0,29.8,6.26,29.0,0.5,36.9982407080321
142.0,22.0,6.0,8.0,2008.0,29.4,5.22,10.0,0.75,34.89206043058236
143.0,23.0,6.0,8.0,2008.0,29.0,7.41,14.0,0.786,29.86732264427763
144.0,0.0,7.0,8.0,2008.0,21.0,5.49,104.0,0.833,28.72561986927636
145.0,1.0,7.0,8.0,2008.0,19.6,5.17,34.0,0.813,26.447856764984422
146.0,2.0,7.0,8.0,2008.0,18.6,4.14,335.0,0.938,30.648668102699332
147.0,3.0,7.0,8.0,2008.0,17.7,6.48,0.0,0.958,33.57480144282946
148.0,4.0,7.0,8.0,2008.0,16.1,6.26,357.0,1.0,37.88493942624753
149.0,5.0,7.0,8.0,2008.0,16.1,6.59,2.0,1.0,42.03910800652144
